,date,headline,section,word_count
11148,2016-02-16T00:00:00Z,C. C. Sabathia’s Waning Fastball Isn’t Worrisome to Andy Pettitte,Sports,585
11149,2016-02-16T00:00:00Z,Dispute With New York City Threatens Success Academy’s Pre-K,N.Y. / Region,614
11150,2016-02-16T00:00:00Z,"A New Season for the Mets’ Matt Harvey, but One Pitch Is Hard to Shake Off",Sports,1033
11151,2016-02-16T00:00:00Z,"Jeb Bush, With Assist From George, Goes After Donald Trump",U.S.,1185
11152,2016-02-16T00:00:00Z,‘Real Clothes on Real Girls’: Diane von Furstenberg’s Immersive Experience,Fashion & Style,257
11153,2016-02-16T00:00:00Z,"Saying Farewell to David Frei, Westminster’s Nuzzling Voice",Sports,1105
11154,2016-02-16T00:00:00Z,"At Mass, Pope Francis Embraces ‘Misunderstood’ of Mexico",World,995
11155,2016-02-16T00:00:00Z,"In Queens, Broadcasting Banter From a Bar in a Garage",N.Y. / Region,896
11156,2016-02-16T00:00:00Z,An Asia Summit Meeting Is Overshadowed by Scalia,U.S.,877
11157,2016-02-16T00:00:00Z,"Leo Van Munching Jr., Empire Builder for Heineken, Dies at 89",Business Day,850
11158,2016-02-16T00:00:00Z,Islanders Rebound With Three-Goal Surge in Home Win ,Sports,616
11159,2016-02-16T00:00:00Z,Lincoln Memorial to Get Major Renovation,U.S.,394
11160,2016-02-16T00:00:00Z,Israel: Ex-Prime Minister Begins Prison Term for Bribery Conviction,World,94
11161,2016-02-16T00:00:00Z,Bahrain: 4 Journalists Detained,World,114
11162,2016-02-16T00:00:00Z,"Yemen: Embattled City at Risk of Famine, United Nations Warns",World,110
11163,2016-02-16T00:00:00Z,What Planners of Brooklyn-Queens Streetcar Line Can Learn in New Jersey,N.Y. / Region,951
11164,2016-02-16T00:00:00Z,U.S. Closing a Loophole on Products Tied to Slaves,U.S.,1230
11165,2016-02-16T00:00:00Z,"In Supreme Court Vacancy, Ted Cruz Senses an Opening",U.S.,934
11166,2016-02-16T00:00:00Z,Michel Platini Pleased With Hearing Over His Ban,Sports,201
11167,2016-02-16T00:00:00Z,Oil Prices Are Steady as OPEC Weighs Next Move,Business Day,128
11168,2016-02-16T00:00:00Z,"India Resists Devaluation, Despite Shrinking Exports",Business Day,86
11169,2016-02-16T00:00:00Z,European Central Bank Weighs Eliminating 500-Euro Bill,Business Day,94
11170,2016-02-16T00:00:00Z,Approval for First U.S. Factory in Cuba in Over 50 Years,Business Day,134
